PostId,OpenStatus
779052,0
3351926,0
2333077,0
1186402,0
589152,0
1242891,0
924451,2
47528,0
225881,0
2970394,2
1640608,0
1629418,4
2171522,0
611303,0
1525761,0
1228368,0
2972300,2
370025,0
2397746,0
2025669,0
1515849,0
208610,2
2247142,0
3011503,0
44645,0
60825,0
372641,0
3158482,0
3352497,0
1481154,0
596183,0
2161141,3
2815368,0
1361778,0
1785098,0
364574,0
3234586,0
1721381,1
1314358,0
1575581,0
929347,0
297836,0
2420093,0
415272,0
1777716,0
1380041,1
2219155,0
1552675,4
42426,0
1124998,2
1447223,0
3352921,0
3101830,2
902030,0
1353890,0
1542891,0
953320,0
2471772,0
3321370,3
19295,0
79534,0
2010430,0
1883160,0
1379439,0
277482,0
53252,0
1354592,0
2753710,0
2596972,3
1169705,3
1430620,0
1343565,4
2851766,2
1853254,4
2374315,0
1141549,0
2371380,3
2904941,2
1933613,0
934448,1
973576,0
2740682,3
2028121,4
1748444,0
379145,0
1663323,0
2514507,0
2166383,0
2140969,0
1867403,2
1679146,0
2476036,0
1881061,0
1981089,0
2804336,0
786891,0
2250136,0
2863425,2
2879862,0
89394,0
2326640,0
1049479,0
1775743,2
2310334,0
2477593,0
2708198,0
2601908,0
939831,0
80304,4
875979,0
144049,1
2039419,0
2454855,0
1975145,4
2654422,0
1719475,0
2491043,0
821486,0
3299559,0
352821,3
972210,0
299063,3
887963,0
306342,0
433035,2
2818943,2
2130128,0
1857735,0
3136042,0
2348500,3
1012748,0
1953339,0
3257924,0
833860,0
2486740,2
1306804,0
2212777,0
2993258,0
1403597,2
1265110,0
2628557,0
151107,4
2562111,0
38473,0
475901,0
220514,1
2917298,0
2455022,0
1654365,0
3160147,0
2362284,0
1501652,0
421064,4
638498,0
2322926,0
1684908,2
732375,0
3338082,0
3212130,2
81915,0
2630584,0
1506159,0
282869,3
1875912,0
2608970,0
228698,0
343510,0
1320700,3
22118,0
3057747,3
1722256,0
1832086,0
267224,3
1678022,0
1606606,0
785838,0
2782895,0
3048843,0
1253526,0
1847516,0
940448,0
2721098,0
2429561,2
2759896,0
2386437,0
3026826,0
763507,4
2873752,0
1000100,0
1488688,0
1825903,0
1290742,0
601560,0
361374,0
1973322,3
327089,4
704905,0
937584,0
1615903,0
3197753,0
529688,0
1382847,0
163769,0
60080,0
3076180,0
1936854,0
2877431,0
2129648,0
2697613,0
1016872,2
2033958,0
1192957,2
3296705,0
1597277,0
2378840,0
2776383,0
286279,0
1118218,0
3115775,0
2041358,0
190586,0
678668,2
1591741,0
1533343,0
48703,0
2759666,0
145070,0
1597487,0
1525273,0
2128594,0
1509976,1
1662117,0
3265216,2
754847,0
2446272,0
445286,3
3046454,0
354229,0
689145,0
198015,0
1304024,0
2479320,0
2035111,0
1420737,0
1856434,0
1545109,0
520096,2
3297139,0
232446,0
2887930,0
828467,1
1352504,0
1107958,2
99920,0
250314,2
1389448,0
2159404,0
3006866,0
2732931,0
236461,0
980998,0
957578,3
731382,0
1864787,0
2522968,0
3188754,0
2809579,0
3238979,3
2295392,2
565255,0
1271648,1
3009939,0
2276613,0
1741152,4
3310810,0
1508379,0
2144038,2
854064,0
220071,0
1978425,0
2513788,3
746969,0
746871,2
345805,0
2620704,0
3162719,2
752327,0
2909466,0
919751,0
868927,0
1874334,0
639041,0
1319861,0
1026168,0
3001220,0
747655,2
1743245,2
34992,0
1164987,0
2446104,0
161825,2
1740111,3
1510698,3
287187,0
3192549,0
2590380,0
1674539,2
1378003,0
2615473,0
2062476,0
1572564,0
1319259,0
2843495,0
2146219,0
2434681,2
2459506,4
2345539,0
2355356,0
1749955,0
1237192,0
907314,0
1194126,0
1677577,0
1348920,0
1934015,0
2969745,0
2126446,0
2194419,2
2108254,0
3326793,3
3342941,2
397487,0
1096804,0
1063008,0
1986409,0
1845373,0
2308327,0
2182573,0
2761647,0
1240242,0
2743392,0
90156,2
1873833,0
2853151,0
2636397,0
1682552,0
2870774,2
3308350,2
2821905,0
1157198,0
2811241,1
1477956,0
3181319,0
1918567,0
1426517,0
3002494,0
1032568,3
1108270,0
774085,0
2114896,3
2003654,0
455327,2
1994846,0
886025,2
917222,0
1386224,0
2934917,0
683829,0
2882421,3
1170073,0
2637156,0
1011917,0
3258236,0
2702359,0
2527546,0
2900233,0
2511576,0
2495306,2
2592171,0
1788553,0
870569,0
1989344,0
3110696,3
228290,0
235813,0
2387249,0
120879,0
84022,2
173975,1
2709797,0
1911955,2
87880,0
2741796,0
429023,0
648607,0
2572323,4
1777831,2
834604,0
2919479,0
3205177,4
48694,0
3000843,0
468358,2
2516175,0
3118424,0
627784,0
2973823,3
3075090,3
3303506,0
1203095,0
961052,2
685275,0
1530840,0
1713170,0
1884525,0
3249399,0
420168,0
2382523,2
3126461,0
1573567,0
1585231,0
722538,0
2256591,2
1128246,0
1083025,0
445748,0
1707109,0
1105493,0
2856090,0
2764288,0
366035,0
647001,4
1314098,2
2553262,0
1438108,0
1467813,0
819251,0
731208,0
2907776,0
