PostId,OpenStatus
1402214,3
2338671,0
2042048,0
1672620,4
3103106,0
1666390,3
729675,1
2138633,0
3214132,0
2635355,0
3058556,0
54873,0
1553319,0
1900213,0
1406990,3
2065041,0
113126,3
3195233,4
1398272,0
2083054,0
2030114,0
458057,0
2472785,0
1759195,1
2091981,0
1408457,0
148069,2
1014759,3
2742925,0
1583009,0
2074335,3
1589202,0
1953846,0
1945154,0
3310246,0
2225054,0
3152179,0
2880551,0
1645045,0
1801143,4
1544035,4
982255,3
1014551,0
2793296,2
2827383,0
842185,3
40940,0
2537597,3
2714498,0
1866168,0
590637,0
2720880,0
2035195,0
688402,0
2620456,0
231059,0
2955850,2
2333185,0
841291,0
1245614,0
1832547,0
24074,0
1443578,3
1524608,0
1248897,0
3099477,3
3207839,3
908184,0
2599131,3
2576289,0
164287,1
1193038,2
1866193,0
845414,4
1330972,0
661787,0
441496,3
2461925,0
2469734,0
2859436,0
678454,0
1827569,4
3100229,3
1272340,0
282637,0
604095,0
390646,0
1441871,1
2161888,2
939929,0
1361334,0
1558057,0
2112248,2
388072,0
2237268,0
467453,0
1386336,4
2817686,0
55716,0
366704,0
389349,2
760722,1
1507154,0
411608,4
897290,1
2504497,3
558014,0
1731835,0
940361,0
3355395,0
1988247,0
3026324,0
2822251,0
3175883,0
453590,2
2665532,0
2271174,0
604654,0
2734061,0
191437,0
1819545,0
1468741,0
2166331,0
486630,0
1607448,2
2621743,4
575094,0
67641,0
272559,0
186125,0
2302965,0
1086701,0
1375677,2
1572163,3
341785,0
78632,0
3198253,0
2755419,2
3149571,1
1410272,2
2867402,0
2310930,0
3280966,0
1444603,3
376506,0
53751,0
1695619,0
754723,0
2660029,0
1360779,0
1735025,0
2967834,0
2648636,0
1100182,0
1722406,0
652420,0
518108,0
2823934,0
1835610,0
418506,0
987665,4
1379728,0
3332371,0
281714,0
1706665,2
1853061,0
3049186,0
1733395,4
1928635,2
1346274,0
670596,2
2799267,1
2558668,0
3302368,0
870733,0
3186712,2
227023,0
1513312,0
814735,0
2043846,0
1493580,1
629681,2
1247293,3
231242,4
2697169,2
2739434,0
811828,0
1304335,0
1902381,2
827962,0
1527323,0
1686586,0
2393739,2
575010,0
2924751,2
619403,0
642726,0
2755501,3
2470131,0
2786417,0
1635889,2
1031136,4
2648155,0
511277,0
263218,2
670658,0
1846380,2
937248,0
2376192,0
1815677,0
590769,0
757727,0
2921113,0
2591831,0
3044011,0
2052684,1
2280352,0
1851338,4
162418,4
2027527,0
2463800,0
2242430,0
616363,3
2657331,0
2685998,0
2543565,0
574386,0
2348859,0
1954953,2
1419105,2
1535285,0
3083801,0
2211047,0
716242,0
474228,0
2115233,3
2248639,0
3295998,3
1032074,0
95098,3
3262992,4
956393,0
2474685,0
1021345,4
1350103,0
2558094,0
50899,3
2893977,2
957088,0
505708,0
2326474,3
3274293,0
2666233,0
2040576,0
1792056,4
2731774,4
1707123,1
3280606,0
355336,0
1911913,0
1762162,3
1662179,0
3081549,2
2796259,0
1084598,4
2718704,0
674665,0
710341,3
2034757,2
2163124,0
2044713,0
622863,0
2879579,3
1811308,1
2214516,4
1491974,0
3246034,0
1528681,1
558808,0
1901386,0
2205344,0
3304344,0
1592890,0
3003266,0
1006423,0
2637127,0
110685,0
3275967,0
204762,0
1110789,3
235801,1
1320141,0
2573686,1
1992679,0
3258269,1
2357119,0
1225567,0
493881,0
1663868,0
780369,3
3261541,1
2504018,0
2478414,2
1652670,0
1448298,4
2577035,0
1904923,0
1493142,2
650770,4
760664,1
427970,0
2014477,0
2691134,0
3110684,0
2085294,0
151423,2
2870749,0
25815,0
2348723,3
1395800,0
2228273,0
829313,4
3170110,0
1632297,0
2225282,0
821306,0
198200,0
1265320,3
1582484,1
1853473,3
3211136,3
1563196,0
783943,4
709558,0
708837,0
1313222,1
757539,0
139915,0
2548464,0
2769736,0
2818874,0
856678,2
660861,0
1546126,4
538335,2
1081649,0
1676127,0
2713138,0
1450933,2
1830488,0
1006487,3
3176679,4
364205,0
83808,0
55889,0
2629909,0
1317000,0
1390657,0
782092,0
41912,2
3237724,1
224235,0
2560032,0
1880244,0
3358414,0
2455242,3
1550897,0
988587,0
2709502,0
3067570,4
2368633,0
2960933,2
1439414,0
400320,4
692517,0
1065160,1
353550,0
2524688,2
235560,0
2688250,0
578040,0
1325710,2
2427888,0
3143793,1
1938643,0
2978805,0
848926,0
2591930,0
672954,3
2746833,0
11464,0
2253625,0
2367382,0
2311141,4
2968345,4
2536524,0
1814135,0
375422,0
1945173,2
1525098,0
1834715,1
171326,2
2470156,0
2962475,0
143528,0
96405,0
1323358,0
1973046,3
929804,1
306581,0
3022391,2
2364873,3
3081970,3
539746,0
1861384,0
2034434,2
2363482,4
2139517,0
570952,0
487426,0
2410486,0
1290638,0
1405538,0
2849950,0
2248785,0
3231087,1
2410444,4
867657,3
1909970,0
1609970,0
1985893,0
2725927,0
690869,0
768444,0
945278,0
3304723,0
769816,0
2918016,3
1048701,0
605289,0
1911928,0
1881889,2
1378170,0
2327022,2
1679420,0
2919602,2
191974,2
203707,3
2582769,0
2547086,0
3122481,0
47616,4
2373508,0
1483464,1
3117967,0
3085108,0
2206601,3
2376621,2
737061,0
1037228,0
874339,2
3019263,0
781773,0
2185714,0
1061515,0
252158,2
1390685,3
108945,0
2459511,0
60005,0
2997121,3
2927856,0
3168841,3
3136837,0
3273808,0
1107658,3
731438,0
1572567,1
709688,0
2007582,4
2263434,0
1744258,0
2964181,0
639352,0
2962691,0
323261,3
3099428,0
2169505,0
984581,0
280106,0
3329074,0
426608,0
219396,4
2562581,1
2042886,0
2119599,0
1548204,4
3345097,4
3260988,0
3209092,3
709091,0
1365237,0
2442634,0
3033040,0
2311659,2
2268215,0
2285557,0
447013,0
2178376,2
650898,0
691123,0
830668,0
1370699,0
2975176,0
1679809,4
3049018,0
3269471,0
2967668,0
181911,0
632129,0
3197894,0
2283141,2
2043719,0
1108793,0
1608204,3
62043,0
723957,1
402486,0
2692015,2
1906627,0
